,GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
182450,1248517853,39.789,10.264000000000001,8.15e-23,1152.638,0.25,2264.631104,0,0,0.67,U7tlec8pdD,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/pNOnin1nbj/U7tlec8pdD.png,5.657
72450,1250446931,39.789,38.078,3e-22,86.807,1.25,143.024033,0,0,0.9990000000000001,al1HdZX1Dp,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/XbQAzr1dIs/al1HdZX1Dp.png,5.657
116218,1246061857,49.208,10.264000000000001,6.6e-23,3816.8309999999997,0.551,7587.91748,0,0,0.98,ykjOjw9Wvk,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/M8loNdbjHW/ykjOjw9Wvk.png,5.657
168275,1252727988,39.789,26.78,2.16e-22,3658.9,1.594,7287.211426000001,0,0,0.79,LRCpdNkIsq,L1,Tomte,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/odpOBjzlIL/LRCpdNkIsq.png,5.657
163303,1249694361,1709.217,8.269,7.269999999999999e-23,1788.975,0.012,1435.0195310000001,0,0,0.8240000000000001,xrlX4nRsqD,L1,No_Glitch,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/TkzobTEeU5/xrlX4nRsqD.png,5.657
65032,1241098193,89.064,7.5089999999999995,4.9700000000000007e-23,131.918,0.563,92.829247,0,0,0.9990000000000001,OakY82F1Sr,H1,No_Glitch,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/bt0OI9Tisr/OakY82F1Sr.png,11.314
97509,1246757539,115.113,595.285,2.2200000000000002e-21,3981.425,2.75,7938.115723000001,0,0,0.993,xCjipejExc,L1,No_Glitch,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/EpBzdGu87y/xCjipejExc.png,22.627
101869,1242610986,11.120999999999999,7.513999999999999,2.9799999999999998e-21,3905.845,0.649,7791.69043,0,0,0.991,MFW1uwF9wc,L1,No_Glitch,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/lyqsKGWMJe/MFW1uwF9wc.png,22.627
183465,1246259934,1270.1860000000001,9.366,6.46e-23,1446.547,0.012,1160.342163,0,0,0.66,b3Bt1OazNx,L1,No_Glitch,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Abb8qdmP9C/b3Bt1OazNx.png,11.314
88796,1242337966,11.120999999999999,8.381,2.94e-21,11.184000000000001,0.281,2.36721,0,0,0.996,Pcsns3eZIc,L1,No_Glitch,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/m5uEI99oZo/Pcsns3eZIc.png,22.627
76356,1240698984,87.398,18.743,9.829999999999999e-23,3226.3059999999996,7.531000000000001,6317.257324,0,0,0.998,48d4zfQag4,H1,No_Glitch,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/9hA63eM4qu/48d4zfQag4.png,5.657
